T,V1
0.0,0.100332356989384
0.002,0.12788188457489
0.004,0.155431412160397
0.006,0.177471034228802
0.008,0.205020561814308
0.01,0.227060183882713
0.012,0.249099805951118
0.014,0.265629522502422
0.016,0.271139428019524
0.018,0.276649333536625
0.02,0.276649333536625
0.022,0.271139428019524
0.024,0.265629522502422
0.026,0.260119616985321
0.028,0.25460971146822
0.03,0.249099805951118
0.032,0.243589900434017
0.034,0.243589900434017
0.036,0.232570089399815
0.038,0.227060183882713
0.04,0.221550278365612
0.042,0.210530467331409
0.044,0.205020561814308
0.046,0.194000750780106
0.048,0.177471034228802
0.05,0.160941317677498
0.052,0.144411601126194
0.054,0.12788188457489
0.056,0.116862073540688
0.058,0.105842262506485
0.06,0.0893125459551811
0.062,0.0782927349209785
0.064,0.0617630183696747
0.066,0.0507432073354721
0.068,0.0342134907841682
0.07,0.0231936797499657
0.072,0.0121738687157631
0.074,-0.00986575335264206
0.076,-0.0208855643868446
0.078,-0.0429251864552498
0.08,-0.0594549030065536
0.082,-0.0814945250749588
0.084,-0.109044052660465
0.086,-0.125573769211769
0.088,-0.158633202314377
0.09,-0.180672824382782
0.092,-0.202712446451187
0.094,-0.224752068519592
0.096,-0.241281785070896
0.098,-0.2578115016222
0.1,-0.263321407139301
0.102,-0.274341218173504
0.104,-0.268831312656403
0.106,-0.268831312656403
0.108,-0.2578115016222
0.11,-0.252301596105099
0.112,-0.241281785070896
0.114,-0.241281785070896
0.116,-0.235771879553795
0.118,-0.224752068519592
0.12,-0.224752068519592
0.122,-0.219242163002491
0.124,-0.21373225748539
0.126,-0.202712446451187
0.128,-0.191692635416985
0.13,-0.180672824382782
0.132,-0.169653013348579
0.134,-0.153123296797276
0.136,-0.136593580245972
0.138,-0.125573769211769
0.14,-0.109044052660465
0.142,-0.0925143361091614
0.144,-0.0814945250749588
0.146,-0.0649648085236549
0.148,-0.0539449974894524
0.15,-0.0429251864552498
0.152,-0.0319053754210472
0.154,-0.0153756588697433
0.156,-0.00435584783554077
0.158,0.0121738687157631
0.16,0.028703585267067
0.162,0.0452333018183708
0.164,0.0617630183696747
0.166,0.0838026404380798
0.168,0.105842262506485
0.17,0.133391790091991
0.172,0.155431412160397
0.174,0.177471034228802
0.176,0.205020561814308
0.178,0.227060183882713
0.18,0.249099805951118
0.182,0.265629522502422
0.184,0.276649333536625
0.186,0.276649333536625
0.188,0.276649333536625
0.19,0.271139428019524
0.192,0.265629522502422
0.194,0.260119616985321
0.196,0.249099805951118
0.198,0.243589900434017
0.2,0.232570089399815
0.202,0.232570089399815
0.204,0.227060183882713
0.206,0.216040372848511
0.208,0.210530467331409
0.21,0.205020561814308
0.212,0.194000750780106
0.214,0.188490845263004
0.216,0.1719611287117
0.218,0.160941317677498
0.22,0.144411601126194
0.222,0.133391790091991
0.224,0.116862073540688
0.226,0.105842262506485
0.228,0.0893125459551811
0.23,0.0782927349209785
0.232,0.067272923886776
0.234,0.0562531128525734
0.236,0.0397233963012695
0.238,0.0231936797499657
0.24,0.0121738687157631
0.242,0.00115405768156052
0.244,-0.0208855643868446
0.246,-0.0319053754210472
0.248,-0.0484350919723511
0.25,-0.0649648085236549
0.252,-0.0925143361091614
0.254,-0.114553958177567
0.256,-0.142103485763073
0.258,-0.164143107831478
0.26,-0.191692635416985
0.262,-0.21373225748539
0.264,-0.235771879553795
0.266,-0.252301596105099
0.268,-0.263321407139301
0.27,-0.268831312656403
0.272,-0.268831312656403
0.274,-0.268831312656403
0.276,-0.2578115016222
0.278,-0.252301596105099
0.28,-0.252301596105099
0.282,-0.241281785070896
0.284,-0.235771879553795
0.286,-0.230261974036694
0.288,-0.224752068519592
0.29,-0.21373225748539
0.292,-0.208222351968288
0.294,-0.197202540934086
0.296,-0.191692635416985
0.298,-0.175162918865681
0.3,-0.164143107831478
0.302,-0.153123296797276
0.304,-0.142103485763073
0.306,-0.125573769211769
0.308,-0.103534147143364
0.31,-0.0925143361091614
0.312,-0.0814945250749588
0.314,-0.0649648085236549
0.316,-0.0594549030065536
0.318,-0.0429251864552498
0.32,-0.0263954699039459
0.322,-0.0208855643868446
0.324,-0.00435584783554077
0.326,0.00115405768156052
0.328,0.0176837742328644
0.33,0.028703585267067
0.332,0.0452333018183708
0.334,0.0617630183696747
0.336,0.0838026404380798
0.338,0.100332356989384
0.34,0.116862073540688
0.342,0.138901695609093
0.344,0.160941317677498
0.346,0.177471034228802
0.348,0.194000750780106
0.35,0.210530467331409
0.352,0.210530467331409
0.354,0.210530467331409
0.356,0.210530467331409
0.358,0.199510656297207
0.36,0.182980939745903
0.362,0.1719611287117
0.364,0.149921506643295
0.366,0.133391790091991
0.368,0.105842262506485
0.37,0.0893125459551811
0.372,0.0727828294038773
0.374,0.0562531128525734
0.376,0.0452333018183708
0.378,0.0397233963012695
0.38,0.028703585267067
0.382,0.0231936797499657
0.384,0.028703585267067
0.386,0.0176837742328644
0.388,0.0231936797499657
0.39,0.0231936797499657
